channel,v1,chisq,v3,v4,v5,v6,v7,nmass,m1,m2,tb,mu,oh2,v14,v15,si,v17,sv,at,ma,q3,tr
13,41.9442061102,29.6145569418,0.673751970241,153.77469000255,6.9005517314036E-27,6.7716115306853E-07,3.9000000000000026,87.774254400000004,-110.081353138,439.394949852,39.1143673042,115.019485875,0.10612316244370619,3.616E-10,2.891E-10,2.998451597024E-46,15.689047585287,1.0241976329858086E-026,3.24293696E+03,7.52140502E+02,-2.76905664E+03,-2.94960785E+03
13,41.9427848676,29.5753363024,0.669976490201,2144.1624844193,6.9028639107233E-27,6.8526716764346E-07,3.9000000000000026,87.841513699999993,-108.023810708,363.944389398,19.1035972448,115.144764258,0.10016031660233923,1.515E-09,1.45E-09,1.3140724232139E-45,15.760116370468,1.0303143485904055E-026,-1.64828413E+03,6.92578382E+02,1.95388337E+03,3.0041555E+03
13,41.9423355459,29.5904100064,0.672542934473,118.67814766899,6.8966636588487E-27,6.7661401974188E-07,3.9000000000000026,87.754501800000000,-110.017194919,544.990219858,30.0940292324,114.992140005,0.10636769429817212,2.638E-10,1.979E-10,2.116197322317E-46,15.686253588195,1.0254607260505730E-026,3.47259642E+03,6.44832834E+02,-2.66502929E+03,-2.96744141E+03
13,41.9287846065,29.7529182599,0.682575925303,906.11470756636,6.9055442555076E-27,6.7211744680475E-07,3.9000000000000026,87.790669600000001,-109.196531687,508.919806437,22.3526170551,114.987158375,0.10727219036681102,6.638E-10,5.872E-10,5.892172383986E-46,15.63707192742,1.0116888099213529E-026,3.59748201E+03,6.31933796E+02,-2.60846855E+03,-2.93298966E+03
13,41.9257627754,29.5431185872,0.669499895906,2001.8686496498,6.9058820496311E-27,6.858327408382E-07,3.9000000000000026,87.796029899999994,-107.890751055,392.251154903,15.5110136743,114.585314955,0.10010753683436528,6.383E-10,5.694E-10,5.312903428387E-46,15.771790075171,1.0314985994562043E-026,3.51851635E+03,5.38925227E+02,-2.77315946E+03,-2.95559387E+03
13,41.9254134001,29.9770123274,0.697751132337,153.20702459514,6.8980861991971E-27,6.5366541681769E-07,3.9000000000000026,87.748460100000003,-108.222308951,400.932534191,22.1408032901,115.521778144,0.10704803214806188,4.418E-10,3.644E-10,3.7607389391873E-46,15.460249055528,9.8861698383678313E-027,-1.74701066E+03,5.68445627E+02,1.85827813E+03,2.96576693E+03
13,41.9253372682,29.0968871112,0.643484653599,298.15854698655,7.3906321748636E-27,7.1194978195008E-07,3.9000000000000026,87.775283299999998,-109.291414843,395.183553688,18.4730465267,113.549967992,9.0665856771818210E-002,3.961E-10,3.277E-10,2.860631312089E-46,16.032549202763,1.1485327790690718E-026,3.33878878E+03,5.32907353E+02,-2.7372166E+03,-3.03538758E+03
13,41.9238757346,29.4539033356,0.663637281397,4430.7043621385,7.9163688662955E-27,6.926779914005E-07,3.9000000000000026,87.818380099999999,-109.525157415,406.125596502,17.4286827288,113.148675447,8.7604757353137150E-002,1.157E-09,1.091E-09,8.7018751767284E-46,15.836353091476,1.1928758507404880E-026,3.34422054E+03,6.3680967E+02,-2.8471351E+03,-3.02605501E+03
13,41.9225441365,29.2934767053,0.654202924741,18313.942161783,6.9043538365456E-27,7.0227868796773E-07,3.9000000000000026,87.808242500000006,-108.607931135,416.503446847,17.6781954687,114.408497272,9.9030489959654897E-002,1.037E-09,9.68E-10,8.7649681870595E-46,15.93249783978,1.0553841285987961E-026,3.31400402E+03,6.25972478E+02,-2.89031481E+03,-2.8326082E+03
13,41.9220300142,29.1667118073,0.646513771558,1781.888953216,8.6035022874046E-27,7.107057263999E-07,3.9000000000000026,87.837183600000003,-110.526405948,499.014629966,33.6511461976,112.972027197,8.4028839282497464E-002,9.821E-10,9.728E-10,7.2914203821255E-46,16.011666913158,1.3307531356480530E-026,2.5965627E+03,1.23694584E+03,-8.72683209E+02,-1.75937926E+03
13,41.9156507486,29.8418897048,0.687723388549,475.87233509763,6.8943387054142E-27,6.6597622649044E-07,3.9000000000000026,87.807220799999996,-106.83443324,367.338208526,12.7976600391,114.775310017,9.9608791742451644E-002,1.293E-09,1.243E-09,1.1182126755047E-45,15.574273464915,1.0024871656554083E-026,3.52376396E+03,6.13426676E+02,-2.90396747E+03,-2.93411113E+03
13,41.9085517185,29.2327257892,0.651037879994,44308.447414566,7.7617009556137E-27,7.0637045021866E-07,3.9000000000000026,87.812673799999999,-108.535732027,381.124157031,26.5322051443,113.970142964,8.8471777736785023E-002,1.03E-09,1.023E-09,8.0641188615974E-46,15.972277708392,1.1922042010343935E-026,2.58383354E+03,1.13338651E+03,-8.78433543E+02,-1.71869404E+03
13,41.9065409702,29.9714377612,0.698287969625,250.81179704084,6.9010836018269E-27,6.5489955370243E-07,3.9000000000000026,87.733861700000006,-109.365048706,576.338788165,24.502556974,115.229594063,0.10962073477883419,4.525E-10,3.77E-10,3.9668768047663E-46,15.474315818019,9.8828619452415623E-027,3.41992912E+03,6.19596036E+02,-2.58938554E+03,-2.85697028E+03
13,41.9020213089,29.254450661,0.65311139062,9737.0267272236,7.0577303575688E-27,7.0383588674644E-07,3.9000000000000026,87.775580700000006,-108.123417977,363.843643113,15.6218520795,114.067374073,9.2784028519412351E-002,7.613E-10,6.931E-10,5.9423436734015E-46,15.952360314985,1.0806319502204413E-026,3.44941244E+03,5.57507717E+02,-2.91971595E+03,-2.89929394E+03
13,41.9008342036,29.0332727316,0.640759583018,546.65941516818,7.2210791460023E-27,7.1663938589605E-07,3.9000000000000026,87.758277699999994,-109.841526213,365.476435723,26.9943969483,113.803992293,9.1736116374162638E-002,5.641E-10,4.902E-10,4.238642925029E-46,16.082453278515,1.1269560904560720E-026,3.49979205E+03,6.68113445E+02,-2.71876374E+03,-2.9716738E+03
13,41.8994656145,29.1434523933,0.647131021822,712.80411696185,6.9053658702068E-27,7.0930470279078E-07,3.9000000000000026,87.752879500000006,-109.296371145,440.60255809,20.3394569027,114.223963412,0.10006638185840443,5.987E-10,5.239E-10,4.9266722485972E-46,16.009525606999,1.0670738439898527E-026,3.43183097E+03,5.9090632E+02,-3.01845067E+03,-2.95710697E+03
13,41.8984510738,29.3958703164,0.66124131419,48255.905255814,8.7913789385944E-27,6.9583394974291E-07,3.9000000000000026,87.804800400000005,-110.613560976,455.021616802,39.9905463365,112.837761683,8.3134600985553128E-002,1.351E-09,1.323E-09,9.8572778694596E-46,15.869347161351,1.3295265661619443E-026,2.57257089E+03,1.21140602E+03,-9.10087022E+02,-1.70677409E+03
13,41.8933944778,29.2458281905,0.652998633333,12460.715825396,6.9049989226599E-27,7.0391924546686E-07,3.9000000000000026,87.763358199999999,-108.684271797,402.245100853,17.7671725003,114.253586541,9.8731391053771850E-002,8.362E-10,7.651E-10,6.9653724852239E-46,15.954863785846,1.0574293069214878E-026,3.4633125E+03,5.97345043E+02,-3.00525053E+03,-3.04265219E+03
13,41.8891210191,29.1389693368,0.647822525974,161.86318384465,8.1585286266905E-27,7.056228805513E-07,3.9000000000000026,87.712846099999993,-111.148746389,467.454622503,24.4121430077,112.582766397,8.6267030780142556E-002,2.696E-10,2.047E-10,1.7657473649119E-46,15.978666132267,1.2593771132647971E-026,3.53636523E+03,5.78655477E+02,-2.78354701E+03,-2.96424944E+03
13,41.8881477929,29.7604906599,0.68565062504,192.15008645623,7.4376817548139E-27,6.6729406471084E-07,3.9000000000000026,87.715971400000001,-109.206843828,324.287674571,26.9077891658,114.180045599,9.0357928292233589E-002,3.25E-10,2.599E-10,2.2949114313861E-46,15.599183024508,1.0847626302943981E-026,3.3139131E+03,6.22286204E+02,-2.77973316E+03,-2.92070248E+03
13,41.8880149819,29.2706903169,0.654770811939,6576.8333433669,6.9055134006516E-27,7.0217477311013E-07,3.9000000000000026,87.756034600000007,-108.662574621,368.370362898,19.249722888,114.331336305,9.6909823529872943E-002,8.285E-10,7.57E-10,6.7684684626654E-46,15.938632848381,1.0546458813889381E-026,3.29289164E+03,6.15718336E+02,-3.05508944E+03,-2.89824556E+03
13,41.8869342336,29.7558556408,0.685568925503,161.77015337865,6.8988590977347E-27,6.6608666871151E-07,3.9000000000000026,87.699241599999993,-109.394505227,416.768891637,29.1646187653,114.908807462,0.10610041338486412,3.151E-10,2.483E-10,2.5912160189659E-46,15.589424003216,1.0062969369087119E-026,3.57451496E+03,6.48401625E+02,-2.82999605E+03,-2.91407702E+03
